 1.000e+07  1.000e+02  2.967e-01 -9.802e+09  5.384e+01 -1.479e+02 
 1.000e+07  1.097e+02  3.810e-01 -8.180e+09  9.257e+01 -2.423e+02 
 1.000e+07  1.205e+02  4.819e-01 -6.474e+09  1.567e+02 -3.782e+02 
 1.000e+07  1.322e+02  5.946e-01 -4.825e+09  2.627e+02 -5.462e+02 
 1.000e+07  1.451e+02  7.064e-01 -3.470e+09  4.350e+02 -7.014e+02 
 1.000e+07  1.592e+02  8.024e-01 -2.576e+09  6.879e+02 -7.825e+02 
 1.000e+07  1.748e+02  8.758e-01 -2.080e+09  1.001e+03 -7.647e+02 
 1.000e+07  1.918e+02  9.282e-01 -1.783e+09  1.328e+03 -6.657e+02 
 1.000e+07  2.105e+02  9.637e-01 -1.502e+09  1.626e+03 -5.151e+02 
 1.000e+07  2.310e+02  9.860e-01 -1.115e+09  1.862e+03 -3.380e+02 
 1.000e+07  2.535e+02  9.977e-01 -5.542e+08  2.019e+03 -1.520e+02 
 1.000e+07  2.783e+02  1.000e+00  2.135e+08  2.089e+03  3.092e+01 
 1.000e+07  3.054e+02  9.952e-01  1.197e+09  2.072e+03  2.024e+02 
 1.000e+07  3.352e+02  9.824e-01  2.394e+09  1.971e+03  3.562e+02 
 1.000e+07  3.678e+02  9.621e-01  3.795e+09  1.794e+03  4.872e+02 
 1.000e+07  4.037e+02  9.335e-01  5.391e+09  1.552e+03  5.901e+02 
 1.000e+07  4.431e+02  8.954e-01  7.185e+09  1.258e+03  6.594e+02 
 1.000e+07  4.863e+02  8.449e-01  9.201e+09  9.267e+02  6.875e+02 
 1.000e+07  5.337e+02  7.756e-01  1.152e+10  5.747e+02  6.619e+02 
 1.000e+07  5.857e+02  3.759e-03  2.380e+10  9.835e-01  1.024e+00 
 1.000e+07  6.428e+02  3.413e-03  2.570e+10  9.869e-01  1.020e+00 
 1.000e+07  7.055e+02  3.101e-03  2.757e+10  9.896e-01  1.016e+00 
 1.000e+07  7.743e+02  2.819e-03  2.945e+10  9.919e-01  1.013e+00 
 1.000e+07  8.498e+02  2.564e-03  3.139e+10  9.937e-01  1.011e+00 
 1.000e+07  9.326e+02  2.333e-03  3.344e+10  9.951e-01  1.009e+00 
 1.000e+07  1.024e+03  2.123e-03  3.568e+10  9.963e-01  1.008e+00 
 1.000e+07  1.123e+03  1.933e-03  3.818e+10  9.972e-01  1.006e+00 
 1.000e+07  1.233e+03  1.760e-03  4.102e+10  9.980e-01  1.005e+00 
 1.000e+07  1.353e+03  1.602e-03  4.426e+10  9.986e-01  1.004e+00 
 1.000e+07  1.485e+03  1.459e-03  4.800e+10  9.990e-01  1.003e+00 
 1.000e+07  1.630e+03  1.329e-03  5.229e+10  9.994e-01  1.003e+00 
 1.000e+07  1.789e+03  1.211e-03  5.722e+10  9.996e-01  1.002e+00 
 1.000e+07  1.963e+03  1.103e-03  6.285e+10  9.998e-01  1.001e+00 
 1.000e+07  2.154e+03  1.005e-03  6.927e+10  9.999e-01  1.000e+00 
 1.000e+07  2.364e+03  9.158e-04  7.655e+10  9.999e-01  9.997e-01 
 1.000e+07  2.595e+03  8.344e-04  8.475e+10  9.999e-01  9.989e-01 
 1.000e+07  2.848e+03  7.604e-04  9.397e+10  9.998e-01  9.981e-01 
 1.000e+07  3.126e+03  6.930e-04  1.043e+11  9.997e-01  9.974e-01 
 1.000e+07  3.430e+03  6.316e-04  1.158e+11  9.995e-01  9.968e-01 
